cv_id,skills_text,technical_text,context_text,has_skills,has_technical,has_context
10,"Microsoft Office Suite, VideoScribe Software, PeopleSoft Finance Applications, Accounting, billing, Change Management, contracts, Client Relations, Database, delivery, Eclipse, Finance, financial reporting, financial statements, Front Office, hiring, instructor, Instructional Design, Leadership training, logistics, managing, needs analysis, payables, PeopleSoft HRMS, PeopleSoft, personnel, Program Management, Project Management, project plans, Teaching, training materials, training design and development, training material, training programs, upgrade, view [['Project Management', 'Training Facilitation', 'Instructional Design', 'Development', 'client relations', 'program management', 'accounting'], ['Instructional Design', 'Training Management', 'Database Management'], ['Online Course Instruction']]","EDUCATION: Master of Science in Education with an option in Online Teaching and Learning from CALIFORNIA STATE UNIVERSITY, HAYWARD (2003). Bachelor of Science in Accounting from UNIVERSITY OF MARYLAND, COLLEGE PARK (1993). Bachelor of Science in Business Administration from COLLEGE OF ARTS, SCIENCE, AND TECHNOLOGY (1983). EXPERIENCE: Senior Manager at Company Name (January 1995 - Current). Instructional Designer/Training Manager/Database Manager/Senior Accountant at Company Name (January 2003 - January 2004). Online Course Instructor at Company Name (January 1993 - January 1995).","CAREER OBJECTIVE: Enthusiastic, knowledgeable professional with experience and proven success in program and project management, online and instructor led design, development and facilitation. Outstanding problem-solving skills, as proven through implementation of accounting software packages, significantly improving billing and reporting processes. Excellent management skills, encouraging career growth of subordinates through additional training and opportunities. Keep up-to-date with industry changes through professional affiliation. RESPONSIBILITIES: Design Creation CAD Drawings Design Optimization Team Collaboration Compliance Assurance Design Reviews Manufacturing Support Documentation",True,True,True
11,"R, Python, Tableau, Power BI, SQL, SAS, Deep Learning, Neural Networks, Artificial Intelligence [['predictive data analysis', 'large scale data handling']]",EDUCATION: BCA from NARSEE MONJEE INSTITUTE (2020). EXPERIENCE: BUSINESS ANALYST at DENA FUNDS (APR 2020 - TILL DATE).,RESPONSIBILITIES: Administrative Support Scheduling Filing & Documentation Communication Team Support Equipment Maintenance Information Provision Inventory Management Team Collaboration OHS Policy Development Safety Advice Risk Assessment Policy Review OHS Training Safety Inspections Unsafe Act Prevention Incident Investigation Report Preparation,True,True,True
12,"Data Analytics, Linear Regression, Logistic Regression, Business Intelligence, Business Analysis, GraphQL, Python",EDUCATION: B.A in Economics from Raja Kashwant Singh General College (2020). EXPERIENCE: Associate Consultant at D&D Consultancy (Jul 2020 - till date). Junior Analyst Intern at Tanisha Quromba Brokerage (Dec 2019 - May 2020).,RESPONSIBILITIES: Machine Learning Leadership Cross-Functional Collaboration Strategy Development ML/NLP Infrastructure Prototype Transformation ML System Design Algorithm Research Application Development Dataset Selection ML Testing Statistical Analysis R&D in ML/NLP Text Representation Data Pipeline Design Statistical Data Analysis Model Training Team Collaboration Research Reporting Algorithm Analysis,True,True,True
13,"C, C++, Python, JAVA, HTML, CSS, JavaScript, Data Structures, SQL, PyCharm, Jupyter Notebook, Google Colab, Code Blocks, MATLAB, Turbo C++, MS Office, Scikit-Learn, TensorFlow, OpenCV, NumPy, Pytesseract, Keras [['NLP', 'Web Scraping', 'bs4', 'LDA Topic Modeling'], ['OCR', 'Pytesseract', 'NER Text Classification']]","EDUCATION: B.Tech. (Electrical Engineering Specialization in Computer Science) in Electrical Engineering Specialized in Computer Science from Dayalbagh Educational Institute, Dayalbagh, Agra (2023). XII from St. Clare's Senior Secondary School, Agra (2019). X from St. Clare's Senior Secondary School, Agra (2017). EXPERIENCE: Intern at Genisup India Pvt. Ltd. (July 2021 - Aug 2021). Intern at VUGS Technologies (May 2021 - June 2021).","CAREER OBJECTIVE: Energetic, innovative engineering undergraduate, passionate about Machine Learning, NLP and Deep Learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit. RESPONSIBILITIES: Design Creation CAD Drawings Design Optimization Team Collaboration Compliance Assurance Design Reviews Manufacturing Support Documentation",True,True,True
14,"Java, Spring, Javascript, CSS, HTML, REST APIs, React Native, Kotlin, PostgreSQL, MySQL [['Java', 'Kotlin', 'Android Development', 'Performance Monitoring', 'Quality Assurance', 'Problem Solving', 'Team Collaboration'], ['Android Development', 'Bug Fixing', 'Performance Improvement', 'Cross-Functional Collaboration', 'Data Integrity', 'Feature Development']]","EDUCATION: Bachelor of Science in Computer Science from University of Santa Clara (current). EXPERIENCE: Android Developer Intern at Genesis10 (May 2021 - current). Android Developer Intern at Novalsys, Inc (January 2021 - May 2021).","CAREER OBJECTIVE: Soon-to-be Computer Science graduate eager to continue exploring the inspiring, innovative field of Android Development. As a seasoned intern, I am looking to join an Android Development team with AT&T as a junior developer. RESPONSIBILITIES: Machinery Maintenance Troubleshooting Report Preparation Log Maintenance",True,True,True
15,"Machine Learning, Method Development, Artificial Intelligence, Data Modeling, Data Visualization, Data Validation, Deep Learning, MySQL, MongoDB, Python, Plotly, Seaborn, Matplotlib [['Machine Learning', 'Python']]",EDUCATION: B.Tech in Electronics and Telecommunication from CDAC ACTS (2020). EXPERIENCE: Associate Software Engineer and Analyst at BlueM Solutions (Jun 2020 - till date).,RESPONSIBILITIES: Database Design & Development SQL Query Optimization Data Integrity & Security BI Solutions Development ETL Process Implementation Database Maintenance Backup & Restore Management Index Rebuilding & Performance Tuning SQL Server Clustering & High Availability SQL Server Replication High Availability Group Management Database Monitoring & Troubleshooting,True,True,True
16,"budget, hardware, network systems, database, Dec, documentation, inspection, logistics, meetings, MS Excel, Microsoft Office, Outlook, PowerPoint, network, networking, Operating Systems, Oracle, personnel, presentations, progress, quality, Maintain documentation, routers, safety, scheduling, shipping, spreadsheets, supervision [['MS Excel', 'PowerPoint', 'Oracle'], ['networking'], ['documentation', 'shipping', 'production'], ['Microsoft Office', 'database', 'network systems', 'production']]",EDUCATION: Business Administration in Business Administration from University of Phoenix Texas (2019). EXPERIENCE: Engineering Technician at Company Name (01/2014 - Current). Consultant at Company Name (12/2012 - 12/2013). Engineering Technician at Company Name (01/2011 - 12/2010). Manufacturing Lead at Company Name (07/2004).,RESPONSIBILITIES: Hardware & Network Installation Troubleshooting & Diagnostics User Training & Capacity Building Hardware Replacement Fault Repair & System Setup Software License & Account Management Backup Management System Updates & Maintenance Server & Storage Management Documentation & Technical Specifications Data Protection & Disaster Recovery Storage & Database Planning Power & Disk Backup Incident Management & Escalation Service Restoration User Communication & Verification Incident Classification & Resolution Major Incident Escalation Problem & Error Management Task Assignment & Execution,True,True,True
17,"Artificial Intelligence, Deep Learning, Reinforcement Learning, Tensorflow Keras, Scikit learn, Numpy, Pandas, Matplotlib [['OCR', 'Machine Learning']]","EDUCATION: B.Tech(IT) in Information Technology from IIIT D&M Kancheepuram, Chennai (2019). EXPERIENCE: Analyst Intern at Larsen & Toubro (Dec 2019 - Till Date).","CAREER OBJECTIVE: Machine Learning Engineer seeking assignments Deep Learning, Reinforcement Learning, Tensorflow. Keras. RESPONSIBILITIES: Trade Marketing Executive Brand Visibility, Sales Targets Field Marketing, Campaigns, Product Distribution Brand Head Excel, KPIs Tracking",True,True,True
18,"Machine learning, Data Science, Deep Learning, Decision Trees, Random Forest, XGBoost, CATBoost, Classification, Regression, Scikit Learn, Numpy, Pandas, OpenCV, Python, Matplotlib, Loss Optimization [['Machine learning', 'Deep Learning', 'Data Science']]","EDUCATION: B.Tech in CSE from Raja Birsimbal College, Ranchi (2019). EXPERIENCE: Junior Machine Learning And Deep Learning Engineer at TML Infotech (Mar 2019 - till date).",RESPONSIBILITIES: Hardware & Software Installation System Monitoring IT Support Networking Expertise Mail Server Administration Security Management Troubleshooting & Repair Operations Support,True,True,True
19,"Aderant/CMS, Excel, QuickBooks Pro, SQL, Access, Peachtree, Hyperion Essbase, Financial reporting, US GAAP principles, IFRS, Bookkeeping, Budget development, Individual tax returns",EDUCATION: Bachelor of Business Administration in Accounting from TEMPLE UNIVERSITY (2002). EXPERIENCE: Senior Accountant at Company Name (Mar 2006 - Current). Accountant at Company Name (Jan 2005 - Mar 2006). Financial Analyst at Company Name (Aug 2002 - Jan 2005).,RESPONSIBILITIES: Machinery Maintenance Troubleshooting Report Preparation Log Maintenance,True,True,True
20,"ArcView, AutoCad, Drafting, GPS, graphic, Inspection, Microsoft Access, Microstation, File Maintenance, repairs, supervision, surveys, utilities [['Design', 'Drafting', 'Microstation', 'GeoPak', 'ArcView', 'Microsoft Access', 'survey', 'Trimble GPS', 'Topcon Total Station', 'File Maintenance'], ['TOPO graphic surveys', 'land surveys', 'construction surveys', 'Ashtec GPS', 'Trimble 5600 Total Station', 'AutoCad', 'Eagle Point'], ['surveying', 'Trimble GPS', 'Geodimeter total station', 'Environmental Sampling', 'Construction Inspection', 'stream gauging', 'Microstation']]",EDUCATION: BS in Construction Management from University of Northern Iowa (May 2004). AAS in Civil and Construction Engineering Technology from Hawkeye Community College (May 1998). EXPERIENCE: Engineering Technician at Company Name (August 2007 - Current). Senior Engineering Technician at Company Name (April 2006 - August 2007). Engineering Technician at Company Name (May 1998 - April 2006).,"CAREER OBJECTIVE: To obtain a position in the field of civil engineering technician where I can apply and impart the knowledge I have gained through experience and college, as well as to acquire new insight through experience and application. RESPONSIBILITIES: Mikrotik Router Configuration OLT Device Setup & Management Integration with Billing Software Network Monitoring Tools Integration Connectivity Troubleshooting Technical Support & Escalation Installation & Configuration GPON/EPON Expertise Cisco, OLT, MikroTik Knowledge",True,True,True
21,"Python, Machine Learning, Deep Learning, Data Analysis, Computer Vision, AWS, Scikit-Learn, Numpy, Java, C++, SAP [['Machine Learning', 'React', 'MQTT', 'Cloud']]",EDUCATION: B.TECH from V.V.I.T (2018). EXPERIENCE: SOFTWARE ENGINEER - MACHINE LEARNING at ACS Solutions Pvt. Ltd. (May 2018 - Ongoing).,"CAREER OBJECTIVE: Extremely motivated to constantly develop my skills and grow professionally. I am confident in my ability to come up with innovative solutions and maintain better software development practices. RESPONSIBILITIES: Trade Marketing Executive Brand Visibility, Sales Targets Field Marketing, Campaigns, Product Distribution Brand Head Excel, KPIs Tracking",True,True,True
22,"Material Management, Law Enforcement, mechanical test equipment, PC's, MS Office, 10key by touch, Customer Service, Forklift and Crane Certification, Self-motivation, Leadership, NDT Level II, mechanical theory, pneumatic and hydraulic theory, automation, closing, coaching, oral, hardware, customer support, designing, direction, hand tools, inventory, ISO 9001, Machinery, materials, mechanical, personnel, processes, Procurement, programming, progress, quality, Quality Control, Receiving, repairs, repairing, research, robotic systems, safety, scheduling, shipping, simulation, Supervisor, Test Equipment, Troubleshooting, written, articles [['designing', 'simulation', 'implementation', 'commission', 'programming', 'troubleshooting', 'maintenance', 'automation', 'electrical systems', 'direction', 'coaching', 'organization', 'communication', 'safety', 'technical problem solving', 'supervision', 'inventory management'], ['repair services', 'customer support', 'equipment installation', 'fire alarm systems', 'preventive maintenance'], ['facility operation', 'machinery maintenance', 'testing equipment', 'wind tunnels', 'mechanical modification', 'installation', 'system inspection', 'report generation'], ['logistics coordination', 'equipment maintenance', 'troubleshooting', 'inventory management', 'compliance'], ['materials expediting', 'configuration verification', 'problem solving', 'auditing', 'promis software', 'logistics'], ['production planning', 'materials management', 'schedule management', 'order management', 'communication']]",EDUCATION: General Courses from Monterey Peninsula College. Technical Diploma from San Francisco Police Academy. EXPERIENCE: Equipment Engineering Technician at Company Name (05/2014 - 05/2014). Mechanical Technician at Company Name (04/2013 - 06/2012). Operating Engineer / Test Technician at Company Name (11/2007 - 11/2007). Logistics Coordinator / Sr. Lab Technician at Company Name (10/2006 - 05/2006). Production Control Analyst at Company Name (11/2004 - 02/2004). Material/Production Planner at Company Name (07/2001).,"CAREER OBJECTIVE: To obtain a position where Teamwork, Integrity and Professionalism are a high standard in the Company's Mission Statement. All while engaging in new challenges and learning experiences. RESPONSIBILITIES: Generative AI Development Evolutionary Computation Deep Learning Optimization Expert Systems Design Knowledge Representation Data Preprocessing Model Training Research & Integration",True,True,True
23,"Data Analysis, Business Analysis, Machine Learning, Regression Analysis, Time Series Analysis, SQL, Base SAS, Python, NLP, Credit Risk, Tableau, Statistical Analysis, Data Visualization, Data Science, R, Power Bi [['EDA', 'Data Cleaning', 'Data Modeling']]","EDUCATION: B.CA from KVoCT, Pune (2018). M.CA from KVoCT, Pune (2020). EXPERIENCE: Jr. Data Scientist at Passionate Solution (Feb 2020 - Ongoing).",CAREER OBJECTIVE: Expertise EDA modeler. I like to learn what my data contains and how well I can model it depending on the problem. I can also leverage different visualization tools to aid the understanding of the extracted data and finally use the required ML algorithm to get an outcome. RESPONSIBILITIES: Mushak Forms Maintenance VAT Software & MS Office Maintenance VAT Ledger Management VAT Challan Coordination Liaison with VAT Office VAT Documentation Other Assigned Tasks,True,True,True
24,"HTML, CSS, JavaScript (Angular), Python, Git, Algorithm Design, Technical Writing, Data Analysis, Interpersonal Communication, Patience [['JavaScript', 'Teaching', 'Program Development'], ['Technical Support', 'Database Design', 'Software Testing'], ['Agile/Scrum', 'Code Writing', 'CICD']]",EDUCATION: Master of Science in Computer Science from Princeton International School of Mathematics and Science (2015). Bachelor of Science in Computer Science from New York University (2012). EXPERIENCE: Computer Science Teacher at Princeton International School of Mathematics and Science (2017 - current). Software Engineer at HKA Enterprises (2014 - 2017). Junior Software Engineer at Academy of Mine (2012 - 2014).,"CAREER OBJECTIVE: Dedicated and well-rounded software engineer with a passion for math, computer science, and elite education. Bringing 12+ years of teaching expertise to help Amazon's Career Fulfillment students feel the same joy and pride in my comprehensive JavaScript computer science program as my past 150+ high school students. Eager to teach the basics, get students the tools they need, and foster their passion to reach their goals. RESPONSIBILITIES: Machinery Maintenance Troubleshooting Report Preparation Log Maintenance",True,True,True
25,"Econometrics, Problem Solving, Data Analytics, Data Modeling, Data Validation, Data Reporting, Business Intelligence, Data Manipulation, Data Mining, Machine Learning, R Programming, SQL, Oracle, Scorecard, IFRS [['Data Analytics', 'Machine Learning']]","EDUCATION: B.A (Economics) in Economics from Shaheed Bhagat Singh College (M), University of Delhi (2017). MSc (Economics) in Economics from Indian Statistical Institute (ISI), Delhi (2019). EXPERIENCE: Finance Technology Expert at Home Credit India Finance (Nov 2019 - Till Date).",RESPONSIBILITIES: Internal Audit Assistance Voucher & Bill Verification Cost Sheet Analysis L/C Voucher Verification Expense Verification Salary & Wages Verification Market Rate Verification,True,True,True
26,"API, Approach, ATL, audio, backup, broadcast, C++, CLI, com, CA, Hardware, concept, Content, clients, documentation, dynamic HTML5, editing, XML, FTP, functional, drawing, GUI, http, IDs, Innovation, explorer, IP, JavaScript, json, LAN, MB, C#, MFC, office, Win, Windows, 2000, migration, NAS, OOP, page, Proxy, rendering, SAN, Scrum, servers, specification, team management, threads, troubleshoot, Video, Video Editing, Visual C++, workflow, writer [['Visual C++', 'Windows', 'STL', 'OOP', 'MFC', 'threads', 'file maps', 'ATL', 'IPC', 'FTP', 'TCP', 'HTTP', 'XML', 'JSON', 'services', 'web services', 'REST API', 'SOA', 'media formats and standards', 'codec SDK and integration', 'MPEG-DASH', 'API design and documentation'], ['team management', 'development process document', 'peer code review', 'crash dump analysis'], ['C++', 'Win32', 'threads', 'GUI'], ['Project media management tools', 'Render Bank', 'video effects']]",EDUCATION: M.S in Computer Science from Illinois Institute of Technology. B.E in Electronics and Communication Engineering from National Institute of Technology. EXPERIENCE: Software Engineering Manager at Company Name (September 2009 - Current). Software Engineering Manager at Company Name (November 2005 - August 2009). Principal Software Engineer at Company Name (August 1997 - October 2005). Software Engineer at Company Name (August 1994 - July 1997).,RESPONSIBILITIES: Machine Learning Leadership Cross-Functional Collaboration Strategy Development ML/NLP Infrastructure Prototype Transformation ML System Design Algorithm Research Application Development Dataset Selection ML Testing Statistical Analysis R&D in ML/NLP Text Representation Data Pipeline Design Statistical Data Analysis Model Training Team Collaboration Research Reporting Algorithm Analysis,True,True,True
27,"Deep Learning, Machine Learning, Artificial Intelligence, Linear Regression, Software Engineering, Python, Java, SAP, C, C++, Jenkins, Kubernetes, Docker, Backend [['SAP', 'Data Loading', 'Configuration', 'User Stories']]",EDUCATION: B.Tech in Civil from Jawaharlal Nehru University (2019). EXPERIENCE: Application Development Associate at Accenture (Jan 2019 - Jan 2020).,CAREER OBJECTIVE: I want to join a role where I can experiment and learn with new types of data and increase my ability to build more complex models in the future. RESPONSIBILITIES: Relationship Building HR Collaboration Policy Development Training Management Record Keeping Compliance Employee Development Policy Enforcement Communication Task Execution,True,True,True
28,"C++, Python, .Ney(VB, ASP), CSS, Javascript, Visual Basic, Visual FoxPro, Analytical Process Improvement, Risk Assessment & Tracking, Data & Network Management, Scrum & Agile",EDUCATION: Bachelor of Science in Computer Science from New York University (2017). EXPERIENCE: Information Systems Assistant at Beckman Coulter (2/2019 - 6/2020). IT Associate at BlueOcean Biomedical (1/2018 - 1/2019). Web Developer Intern at MathWorks (5/2016 - 8/2016).,"CAREER OBJECTIVE: Computer Science graduate with 2+ years of experience in systems management, information technology, and data administration. Demonstrated exceptional knowledge in all phases of multiple framework application infrastructures, development, technical process improvement, and system integration. RESPONSIBILITIES: Open-Source Technologies CI/CD Culture & Tooling Product Availability & Scalability Automation (Build & Deploy) Monitoring & Reliability Infrastructure Innovation Software Engineering Velocity Infrastructure Resiliency Security & Data Availability",True,True,True
